scenario,status,total_cost_usd,freight_cost_usd,handling_cost_usd,fixed_cost_usd,tax_cost_usd,n_stockyards_open,direct_shipment_kt,direct_shipment_pct,total_volume_kt,cost_per_ton_usd
pre_gst,Optimal,64716563.32499998,45529849.0,6595589.499999998,5962309.0,6628815.8249999825,16,376.0,15.61526641471822,2407.8999999999996,26.87676536608663
post_gst,Optimal,53117210.39999998,44510277.800000004,5119830.599999999,3487102.0,-1.955777406692505e-08,10,822.4,34.15424228580922,2407.8999999999996,22.059558287304288
